total_time_seconds,code_submissions,submission_frequency_per_min,code_structure_changes,retries,hint_requests,experiments_started,question_level_numeric,accuracy_rate,learner_type
192.39,13,4.05,35,4,2,3,1,0.94,Experimental Learner
320.84,14,2.62,9,13,1,6,2,0.91,Experimental Learner
334.42,15,2.69,20,8,0,2,2,0.44,Experimental Learner
263.72,7,1.59,31,11,1,2,3,0.89,Experimental Learner
102.02,11,6.47,21,8,0,6,1,0.78,Experimental Learner
387.98,12,1.86,16,13,1,2,2,0.5,Experimental Learner
506.78,2,0.24,2,2,6,1,2,0.93,Manual Learner
145.58,20,8.24,34,8,2,8,2,0.56,Experimental Learner
81.71,21,15.42,11,12,0,8,3,0.77,Experimental Learner
318.87,15,2.82,21,9,1,2,1,0.46,Experimental Learner
204.31,21,6.17,24,3,2,6,2,0.7,Experimental Learner
142.46,16,6.74,6,7,1,9,1,0.62,Experimental Learner
116.56,21,10.81,7,13,0,9,1,0.76,Experimental Learner
320.04,24,4.5,28,7,1,5,3,0.49,Experimental Learner
217.54,4,1.1,6,2,4,1,1,0.8,Manual Learner
672.24,2,0.18,4,0,4,0,1,0.85,Manual Learner
215.74,2,0.56,1,1,7,0,3,0.88,Manual Learner
876.88,2,0.14,6,1,6,1,2,0.71,Manual Learner
826.95,1,0.07,4,2,3,1,1,0.83,Manual Learner
792.46,1,0.08,6,1,6,1,2,0.85,Manual Learner
270.44,17,3.77,7,12,1,8,1,0.67,Experimental Learner
258.39,3,0.7,1,0,5,1,1,0.97,Manual Learner
158.34,16,6.06,25,6,0,3,3,0.67,Experimental Learner
60.61,9,8.91,22,11,1,5,3,0.71,Experimental Learner
128.78,24,11.18,16,9,1,8,2,0.41,Experimental Learner
361.58,15,2.49,9,6,1,4,1,0.77,Experimental Learner
644.57,3,0.28,6,3,6,0,1,0.97,Manual Learner
178.06,1,0.34,4,2,4,0,3,0.92,Manual Learner
864.67,3,0.21,3,2,5,1,1,0.97,Manual Learner
183.68,2,0.65,4,3,7,0,3,0.9,Manual Learner
